"Interval start","All Packets"
0,2
1,1
2,1
3,2
4,55
5,63
6,1
7,1
8,1
9,232
10,5843
11,4149
12,1377
13,1911
14,3045
15,3802
16,3779
17,4072
18,4198
19,2072
20,4055
21,4261
22,3877
23,3026
24,3713
25,4091
26,51
27,49
28,26
29,9
30,1
31,8
32,2
33,2
