"Interval start","All Packets"
0,1
1,2
2,2
3,1
4,42
5,1
6,2
7,2
8,0
9,8
10,5961
11,2789
12,1479
13,2276
14,2327
15,3209
16,3333
17,4067
18,4112
19,3821
20,438
21,1716
22,2718
23,1679
24,2833
25,1828
26,3885
27,4008
28,3861
29,685
30,21
31,48
32,9
33,2
