"Interval start","All Packets"
0,2
1,1
2,1
3,3
4,1
5,1
6,1
7,2
8,0
9,2
10,6358
11,15097
12,3627
13,3373
14,3600
15,3082
16,3855
17,3646
18,3826
19,3884
20,4120
21,3725
22,3369
23,4128
24,3186
25,1179
26,1
27,4
28,6
29,18
30,19
31,1
